"Source","RelPath","DB","Name","Ext","SizeBytes","Category","Status","Note","Coverage"
"INSTALL","ServerLogViewer.exe","","ServerLogViewer.exe","exe","693248","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","service_64.exe","","service_64.exe","exe","451584","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","tabgen.exe","","tabgen.exe","exe","748544","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","vcruntime140.dll","","vcruntime140.dll","dll","83768","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL",".claude\settings.local.json","","settings.local.json","json","603","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","client_ini.mnu","","client_ini.mnu","mnu","299","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","FMTLIST.MNU","","FMTLIST.MNU","mnu","2527","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","GenPFT64.ini","","GenPFT64.ini","ini","109","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","HEADER.MNU","","HEADER.MNU","mnu","0","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","irbis_server.ini","","irbis_server.ini","ini","5718","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","IRBISA.INI","","IRBISA.INI","ini","2895","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","IRBISB.INI","","IRBISB.INI","ini","6886","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","irbisc.ini","","irbisc.ini","ini","30225","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","IrbisExtractFT.ini","","IrbisExtractFT.ini","ini","896","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","irbisk.ini","","irbisk.ini","ini","72403","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","irbism.ini","","irbism.ini","ini","36296","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Irbismsg.txt","","Irbismsg.txt","txt","35764","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","IRBISP.INI","","IRBISP.INI","ini","68860","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Irbisr.ini","","Irbisr.ini","ini","15809","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","IRI.MNU","","IRI.MNU","mnu","47","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","ISISACW.TAB","","ISISACW.TAB","tab","734","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","ISO2709Editor.INI","","ISO2709Editor.INI","ini","2300","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Mymsg.msg","","Mymsg.msg","msg","297","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","RC.MNU","","RC.MNU","mnu","212","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","RUSMARC.TXT","","RUSMARC.TXT","txt","748","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Setpriv.wss","","Setpriv.wss","wss","4943","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","SETPRIVC.WSS","","SETPRIVC.WSS","wss","2542","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","SETPRIVK.WSS","","SETPRIVK.WSS","wss","1371","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","SORTLIST.MNU","","SORTLIST.MNU","mnu","0","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","unicode.mnu","","unicode.mnu","mnu","1218","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","unifor.mnu","","unifor.mnu","mnu","10585","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","UPMNU.MNU","","UPMNU.MNU","mnu","210","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","VMARCI.TXT","","VMARCI.TXT","txt","1159","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","webirbis.MNU","","webirbis.MNU","mnu","340","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","workdir\readme.txt","","readme.txt","txt","106","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\arch.par","(Datai root)","arch.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ATHRA.PAR","(Datai root)","ATHRA.PAR","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ATHRB.PAR","(Datai root)","ATHRB.PAR","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ATHRC.PAR","(Datai root)","ATHRC.PAR","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ATHRG.PAR","(Datai root)","ATHRG.PAR","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ATHRS.PAR","(Datai root)","ATHRS.PAR","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ATHRU.PAR","(Datai root)","ATHRU.PAR","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\CLIENT_M.MNU","(Datai root)","CLIENT_M.MNU","mnu","78","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\CMPL.PAR","(Datai root)","CMPL.PAR","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\COUNT.par","(Datai root)","COUNT.par","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\DBNAM1.MNU","(Datai root)","DBNAM1.MNU","mnu","1604","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\DBNAM2.MNU","(Datai root)","DBNAM2.MNU","mnu","1398","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\DBNAM2.TRE","(Datai root)","DBNAM2.TRE","tre","1557","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\DBNAM3.MNU","(Datai root)","DBNAM3.MNU","mnu","61","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\DBNAMMBA.MNU","(Datai root)","DBNAMMBA.MNU","mnu","75","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\DBNAMZAK.MNU","(Datai root)","DBNAMZAK.MNU","mnu","71","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\event.par","(Datai root)","event.par","par","206","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\GUAR.par","(Datai root)","GUAR.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\GURF.par","(Datai root)","GURF.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\GUSK.par","(Datai root)","GUSK.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\HELP.PAR","(Datai root)","HELP.PAR","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\HLPINI.par","(Datai root)","HLPINI.par","par","211","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\IBIS.PAR","(Datai root)","IBIS.PAR","par","195","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\image.par","(Datai root)","image.par","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\iri.par","(Datai root)","iri.par","par","178","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\KZD.par","(Datai root)","KZD.par","par","178","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\lich.par","(Datai root)","lich.par","par","195","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\LOGB.par","(Datai root)","LOGB.par","par","195","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\LOGC.par","(Datai root)","LOGC.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\logdb.par","(Datai root)","logdb.par","par","206","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\LOGP.par","(Datai root)","LOGP.par","par","195","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\MBA.PAR","(Datai root)","MBA.PAR","par","184","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\MBA_ARH.par","(Datai root)","MBA_ARH.par","par","222","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\mesh.PAR","(Datai root)","mesh.PAR","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\MORPH.par","(Datai root)","MORPH.par","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\PAY.par","(Datai root)","PAY.par","par","178","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\PODB.PAR","(Datai root)","PODB.PAR","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\POST.PAR","(Datai root)","POST.PAR","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\RDR.PAR","(Datai root)","RDR.PAR","par","178","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\RDR_ARH.par","(Datai root)","RDR_ARH.par","par","222","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\RDRV.par","(Datai root)","RDRV.par","par","195","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\RIGHT.par","(Datai root)","RIGHT.par","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\RQST.PAR","(Datai root)","RQST.PAR","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\rsbbk.par","(Datai root)","rsbbk.par","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\RSUDC.par","(Datai root)","RSUDC.par","par","200","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\SK.par","(Datai root)","SK.par","par","173","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\SK_EKZ.par","(Datai root)","SK_EKZ.par","par","211","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\SK_NEW.par","(Datai root)","SK_NEW.par","par","211","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\SK_USER.par","(Datai root)","SK_USER.par","par","222","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\SPRAV.par","(Datai root)","SPRAV.par","par","206","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\TEZ.PAR","(Datai root)","TEZ.PAR","par","178","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\URUB.par","(Datai root)","URUB.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\VKR.par","(Datai root)","VKR.par","par","184","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\VUZ.PAR","(Datai root)","VUZ.PAR","par","178","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\work.par","(Datai root)","work.par","par","189","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\zapr.par","(Datai root)","zapr.par","par","195","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ARCH\!!KK.MNU","ARCH","!!KK.MNU","mnu","28","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ARCH\!!KK.WSS","ARCH","!!KK.WSS","wss","1246","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ARCH\!!kk_arch.hdr","ARCH","!!kk_arch.hdr","hdr","10","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"INSTALL","Datai\ARCH\!!kk_arch.pft","ARCH","!!kk_arch.pft","pft","2","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
